Taxpayer Number	Taxpayer Name	Taxpayer Address	Taxpayer City	Taxpayer State	Taxpayer Zip	Taxpayer County	Location Number	Location Name	Location Address	Location City	Location State	Location Zip	Location County	Inside/Outside City Limits	TABC Permit Number	Responsibility Begin Date	Responsibility End Date	Obligation End Date	Liquor Receipts	Wine Receipts	Beer Receipts	Cover Charge Receipts	Total Receipts
32047970895	HONDURAS MAYA CAFE & BAR LLC	8011 HAZEN ST	HOUSTON	TX	77036	101	1	HONDURAS MAYA CAFE & BAR LLC	5945 BELLAIRE BLVD STE B	HOUSTON	TX	77081	101	Y	MB817033	8/16/2012	9/12/2019	7/31/2019	0	0	0	0	0
17109091326	ROCKET BEVERAGE COMPANY LLC	11770 US HIGHWAY 1 STE 202	N PALM BEACH	FL	33408	0	9	ROCKET BEVERAGE COMPANY LLC	15405 KATY FWY	HOUSTON	TX	77094	101	Y	MB876203	6/25/2014		6/30/2019	934	45	743	0	1722
32063708120	GRAPEFRUIT TREE LLC	3210 W DALLAS ST	HOUSTON	TX	77019	101	1	BOUTIQUE NIGHTCLUB	5316 WASHINGTON AVE	HOUSTON	TX	77007	101	Y	MB105785055	9/7/2018	7/31/2022	11/30/2019	0	0	0	0	0
32050567265	NIGHTINGALE ROOM BAR, L.L.C.	1416 WESTHEIMER RD	HOUSTON	TX	77006	101	1	NIGHTINGALE ROOM BAR, L.L.C	308 MAIN ST STE 100	HOUSTON	TX	77002	101	Y	MB887256	10/16/2014	3/24/2020	8/31/2019	22474	99	5710	0	28283
32040365002	HUACALGO CORP	5819 GULF FWY STE 900	HOUSTON	TX	77023	101	1	OSTIONERIA MICHOACAN #11	5819 GULF FWY STE 900	HOUSTON	TX	77023	101	Y	MB741835	2/8/2010		2/28/2019	45770	0	95041	0	140811
17514764004	THE DOWNTOWN CLUB, INC.	3030 LYNDON B JOHNSON FWY	DALLAS	TX	75234	57	1	THE MET BUSINESS AND SPORTS CLUB AT DOWNTOWN	ONE ALLEN CENTER, 6TH FLOOR, 340 WEST DALLAS	HOUSTON	TX	77002	101	Y	MB502379	10/31/2001		6/30/2019	1614	1428	3158	0	6200
32051822677	VUELVE A LA VIDA MARISCOS, INC.	876 LOOP 337 STE 501	NEW BRAUNFELS	TX	78130	46	1	VIDA MARISCOS	22400 STATE HIGHWAY 249	HOUSTON	TX	77070	101	N	MB858528	12/4/2013		10/31/2019	57830	1852	87804	0	147486
17602437257	VOSS, INC.	3131 ARGONNE ST	HOUSTON	TX	77098	101	1	CARRABBA'S RESTAURANT	1399 S VOSS	HOUSTON	TX	77057	101	Y	MB202066	12/1/1993		4/30/2019	41301	130965	4539	0	176805
32067495682	BISHOP WILLOWBROOK PARK LESSEE LLC	9 W 57TH ST FL 43	NEW YORK	NY	10019	0	1	EMBARK AT WILLOWBROOK PARK	7575 WILLOW CHASE BLVD	HOUSTON	TX	77070	101	Y	MB105966035	12/14/2018	12/14/2022	11/30/2019	0	0	0	0	0
17427780618	BRISTOL-SHANDY GROUP, L.L.C.	230 STARBOARD AVE	ROCKPORT	TX	78382	4	2	WILD WEST - HOUSTON	6101 RICHMOND AVE	HOUSTON	TX	77057	101	Y	MB408838	3/9/1998	7/1/2021	6/30/2019	49440	1114	29513	0	80067
